"","Group.1","cells.1","Camp_out_0.5","DEM_0.5","LANDCVI_selected_0.5","MGVF_0.5","SLOPE_0.5","WC_Prec_0.5","WC_Temp_0.5","cells.2","CampPrecip_0.5","CampTemp_0.5","CampTemp"
"12",6047,6047,1,923.835815429688,37.0992202758789,96.5,0.356043756008148,46.3243522644043,2.63946485519409,32616,1.20192071335623e-05,272.648956298828,-0.501043701171852
"13",6048,6048,0.990000009536743,775.054016113281,26.1012840270996,96.75,0.270123422145844,45.8512802124023,2.63013792037964,32618,1.19827054732013e-05,272.348236083984,-0.801763916015602
"14",6557,6557,0.970000028610229,735.420593261719,110.702713012695,96.75,0.087174728512764,41.3530197143555,2.60645580291748,37308,1.30428293232399e-05,273.990295410156,0.840295410156273
"15",6889,6889,0,894.545166015625,192.552459716797,67.9999923706055,0.129142254590988,39.3214645385742,2.71620273590088,38386,1.34388074002345e-05,275.012329101562,1.86232910156252
"16",6891,6891,0.949999988079071,827.032775878906,416.714782714844,84.4999923706055,0.0541031546890736,36.6601524353027,2.86562061309814,39108,1.37328343043919e-05,275.169494628906,2.01949462890627
"17",6892,6892,0.970000028610229,822.983032226562,793.646850585938,85.4999923706055,0.0782323777675629,34.6509475708008,2.77435231208801,39831,1.40145857585594e-05,275.03125,1.88125000000002
"18",6898,6898,1,660.448303222656,995.591796875,78.25,0.057623028755188,29.9856929779053,2.31573915481567,40558,1.52963202708634e-05,274.443420410156,1.29342041015627
"19",7057,7057,0.839999973773956,829.37744140625,595.396118164062,82.75,0.0687960088253021,33.4558067321777,3.17399787902832,39587.3333333333,1.38641999001266e-05,275.560760498047,2.4107604980469
"20",7066,7066,1,675.587524414062,1249.82019042969,74.5,0.0405403673648834,29.5982341766357,2.63970565795898,41998,1.60363106260775e-05,275.118896484375,1.96889648437502
"21",7222,7222,0.379999995231628,929.449951171875,356.578338623047,87.75,0.128914788365364,32.3607978820801,3.51192736625671,39106,1.37280730996281e-05,275.520690917969,2.37069091796877
"22",7223,7223,0.829999983310699,889.964782714844,724.0771484375,86,0.108705051243305,31.3305435180664,3.57049608230591,40187.5,1.40032407216495e-05,275.840805053711,2.69080505371096
"23",7228,7228,1,753.222900390625,1465.99438476562,86.25,0.0538195222616196,26.3142414093018,3.33935189247131,41273,1.4862215721223e-05,275.426513671875,2.27651367187502
"24",7391,7391,1,718.403930664062,1698.8330078125,89.5,0.00789243448525667,28.0006771087646,4.30157613754272,41412.6,1.4334369370772e-05,276.232446289063,3.08244628906255
"25",7392,7392,1,774.816650390625,1785.1904296875,87.75,0.0305643621832132,27.2335681915283,4.18207693099976,41989.5,1.46349671013013e-05,276.361740112305,3.21174011230471
"26",7393,7393,1,798.940002441406,1594.46240234375,88,0.0236295890063047,26.1489810943604,4.17060613632202,41990,1.47212858792045e-05,276.278717041016,3.12871704101565
"27",7394,7394,1,723.362609863281,1445.8017578125,76.9999847412109,0.0412924885749817,26.6526832580566,4.09957695007324,41992.5,1.51495764839638e-05,275.871963500977,2.72196350097659
"28",7557,7557,1,746.900207519531,1186.36645507812,91.75,0.0422060154378414,27.9003849029541,5.13391304016113,42708,1.44443201861577e-05,276.983703613281,3.83370361328127
"29",7558,7558,1,761.980224609375,1192.77746582031,82.75,0.0488755814731121,27.1875877380371,4.98951196670532,42229.3333333333,1.46338009775112e-05,276.513437906901,3.36343790690108
"30",7559,7559,1,722.502868652344,1232.95544433594,77.75,0.0876142457127571,27.106201171875,4.88763284683228,42710,1.48186172737041e-05,276.649963378906,3.49996337890627
"31",7560,7560,1,785.454040527344,1365.20434570312,74.5,0.125570610165596,28.2215728759766,4.66268014907837,42711.5,1.50990163092501e-05,276.401519775391,3.25151977539065
"32",7697,7697,0,NA,168.567825317383,0,NA,121.061965942383,8.19716358184814,46266,2.47483822022332e-05,273.438262939453,0.288262939453148
"33",7718,7718,0.119999997317791,1498.27160644531,883.904113769531,97.5000076293945,0.594227433204651,51.5171699523926,2.92421984672546,42701,1.32754785227007e-05,277.523712158203,4.37371215820315
"34",7720,7720,1,942.661071777344,1050.46374511719,90.5,0.250485152006149,35.8357086181641,5.48550319671631,41623,1.35424688778585e-05,276.852996826172,3.7029968261719
"35",7723,7723,1,813.125854492188,1156.95495605469,86.2499847412109,0.106606401503086,30.2406940460205,5.61257123947144,42707,1.42571707328898e-05,277.150573730469,4.00057373046877
