"","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10"
"11707",0,0,0,0,0,0,0,0,0,0
"11708",0,0,0,0,0,0,0,0,0,0
"11710",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"11871",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"11872",0,0,0,0,0,0,0,0,0,0
"11873",0,1,0,0,0,0,0,0,0,0
"11874",0,0,0,0,0,0,NA,NA,NA,NA
"12045",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12046",0,0,0,0,0,0,0,0,0,NA
"12047",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12211",0,0,0,0,0,0,0,0,0,0
"12212",0,0,0,0,0,0,0,0,0,0
"12213",0,0,0,0,0,0,0,0,0,0
"12217",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12379",0,0,0,0,0,0,0,0,0,0
"12380",0,0,0,0,0,0,0,0,0,NA
"12381",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"12543",0,1,0,NA,NA,NA,NA,NA,NA,NA
"12547",0,0,0,0,1,NA,NA,NA,NA,NA
"12769",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"12933",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"13082",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13210",0,0,0,0,0,0,NA,NA,NA,NA
"13415",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13534",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13701",0,1,1,0,NA,NA,NA,NA,NA,NA
"13706",1,1,NA,NA,NA,NA,NA,NA,NA,NA
"13856",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13869",0,1,0,1,0,1,NA,NA,NA,NA
"14189",0,0,0,0,0,0,0,0,0,0
"14378",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14379",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14381",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14545",1,1,1,0,1,0,0,0,0,0
"14546",0,0,1,0,0,0,0,0,0,0
"14712",0,0,0,1,0,0,0,0,1,0
"14880",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15047",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15048",0,1,0,NA,NA,NA,NA,NA,NA,NA
"15215",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15546",0,0,0,NA,NA,NA,NA,NA,NA,NA
"15711",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15712",0,0,0,0,0,0,0,0,0,0
"15877",0,0,0,0,0,0,0,0,0,0
"15878",0,0,0,0,0,0,0,0,0,0
