"","cells","mean_DEM","mean_MGVF","mean_prec","mean_temp","max_DEM","min_DEM","relief","mean_plat","counting_colls$Coll_count","mean_Cpre","mean_Ctemp"
"21",7394,675.833079618566,70.3235294117647,25.45097990597,4.43799031482023,730.135437011719,625.058227539062,105.077209472656,60.6047058823529,7,1.51612408337635e-05,3.04274363798254
"22",7557,737.031005859375,87.5,28,5.34166669845581,748.27783203125,725.7841796875,22.49365234375,60.43,2,1.43494617077522e-05,3.71474609375002
"23",7558,744.363040808475,60.969696969697,26.5681822805694,5.42348483114532,777.550048828125,736.613037109375,40.93701171875,60.3184848484849,8,1.47443297464633e-05,3.38796386718752
"24",7559,693.816101074219,85,26.9166660308838,5.55833339691162,693.816101074219,693.816101074219,0,60.1,1,1.47443297464633e-05,3.38796386718752
"25",7560,747.845174153646,83,27.1388893127441,4.31111113230387,785.404174804688,668.817749023438,116.58642578125,60.335,3,1.51391968756798e-05,3.0611511230469
"26",7697,59.8536338806152,89,113.916664123535,9.41666698455811,59.8536338806152,59.8536338806152,0,58,1,2.70579839707352e-05,-1.90775146484373
"27",7718,1264.388671875,100,45.8333320617676,4.68333339691162,1264.388671875,1264.388671875,0,60.35,1,1.33204839585233e-05,4.09627685546877
"28",7720,939.564331054688,90,34.6666679382324,5.71666669845581,939.564331054688,939.564331054688,0,60.54,1,1.36375392685295e-05,4.06890258789065
"29",7723,772.88417561849,85,28.9166666666667,5.73333326975505,804.537292480469,714.912292480469,89.625,60.1566666666667,3,1.43494617077522e-05,3.71474609375002
"30",7724,774.460245768229,80.3333333333333,28.0833333333333,5.73888889948527,843.47705078125,722.446411132812,121.030639648438,60.06,3,1.4351173073616e-05,3.98458251953127
"31",7725,820.980895996094,81,28.6666660308838,5.40000009536743,820.980895996094,820.980895996094,0,59.75,1,1.43545958053437e-05,4.52425537109377
"32",7726,761.364637586806,75,28.5208339691162,5.28194451332092,762.8564453125,745.230346679688,17.6260986328125,59.8813888888889,4,1.49537225600701e-05,3.84463653564455
"33",7887,1216.92188218061,93.7647058823529,35.8676470588235,4.80098023134119,1235.17517089844,1183.45751953125,51.7176513671875,59.84125,3,1.37470060508349e-05,5.01516113281252
"34",7888,1018.0205871582,86,34.5749988555908,6.02833342552185,1018.54699707031,1013.28289794922,5.26409912109375,59.7576666666667,9,1.40420079333126e-05,4.87886962890627
"35",7890,894.841613769531,90,30.75,5.46666669845581,894.841613769531,894.841613769531,0,59.75,1,1.43545958053437e-05,4.52425537109377
"36",7891,957.143948512652,57.0591966173362,28.7344959250968,5.28757930255591,1005.32092285156,880.62451171875,124.696411132812,59.246747311828,34,1.43649044926e-05,4.51437875070883
