field_1,siteID,collection,lng,lat,objectid,id,dir,length,linkid,country,juriscode,jurisname,roadnum,roadname,admin,surface,lanes,speedlim,class,nhs,border,shape_Leng,n,distance,feature_x,feature_y,nearest_x,nearest_y
"31","14545","200401",-103.561000000000007,29.279000000000000,"32724","468514","0",4.440000000000002,02_3763575,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",5102.742871857310092,"1",4791.373816731442275,-706841.532126299338415,-1223608.104501229943708,-703021.909466078039259,-1220715.398884478956461
"32","14545","222814",-103.637000000000000,29.225000000000001,"32723","468512","0",28.030000000000001,02_3762536,"2",02_48,Texas,C170,,Municipal,Paved,"2","88","5",0.000000000000000,"0",32150.068507807794958,"1",9073.461865825258428,-714431.208611782640219,-1229232.961052885046229,-718893.122859413851984,-1221332.389461071463302
"33","14546","189792",-103.198999999999998,29.446999999999999,"32533","450964","0",44.280000000000001,02_3794254,"2",02_48,Texas,U385,,State,Paved,"2","88","5",0.000000000000000,"0",51042.389709317481902,"1",5721.830224972925862,-671599.245103377732448,-1206957.180135757895187,-665922.203367686015554,-1207671.699732849607244
"34","14546","189796",-103.117000000000004,29.100000000000001,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",13747.376001329901555,-666959.320120746269822,-1247359.279721714323387,-657412.664152739569545,-1237467.277560854097828
"35","14546","189811",-103.200000000000003,29.132999999999999,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",16305.610956121425261,-674434.637458086246625,-1242986.860198445385322,-663711.219638040172867,-1230703.486927673919126
"36","14546","68006",-103.170000000000002,29.105000000000000,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",16996.481379235647182,-671873.241174918948673,-1246411.528736814856529,-657436.663131609791890,-1237441.267108849482611
"37","14546","189799",-103.349999999999994,29.449999999999999,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",11857.147146326382426,-685631.423658662475646,-1205531.784648864064366,-680899.233609772520140,-1216403.689532131887972
"38","14546","200397",-103.483000000000004,29.332999999999998,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",2469.472371021008257,-699074.789281937992200,-1217990.387558602960780,-698037.277498041861691,-1220231.338939046720043
"39","14545","189807",-103.507999999999996,29.297000000000001,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",380.533562448751525,-701733.306793972151354,-1221936.635153526440263,-701452.962784834438935,-1221679.316229444928467
"40","14545","200402",-103.561000000000007,29.279000000000000,"32724","468514","0",4.440000000000002,02_3763575,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",5102.742871857310092,"1",4791.373816731442275,-706841.532126299338415,-1223608.104501229943708,-703021.909466078039259,-1220715.398884478956461
"41","14546","189809",-103.197999999999993,29.140999999999998,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",15460.203406989588984,-674177.843318316154182,-1242083.428084806073457,-663802.364909396157600,-1230621.868977445177734
"42","14545","143522",-103.516999999999996,29.317000000000000,"32724","468514","0",4.440000000000002,02_3763575,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",5102.742871857310092,"1",991.010756549927578,-702390.374167389818467,-1219575.102106197737157,-703308.523371060495265,-1219948.069074435625225
"43","14545","150883",-103.549999999999997,29.286000000000001,"32724","468514","0",4.440000000000002,02_3763575,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",5102.742871857310092,"1",3487.843597503609999,-705751.274038959876634,-1222886.947177504887804,-703021.909466078039259,-1220715.398884478956461
"44","14546","189808",-103.302999999999997,29.408999999999999,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",5865.043300056006046,-681619.170471714343876,-1210577.890044774161652,-680848.171810538275167,-1216392.036067707929760
