fid,field_1,collection_no,lat,lng,objectid,id,dir,length,linkid,country,juriscode,jurisname,roadnum,roadname,admin,surface,lanes,speedlim,class,nhs,border,shape_Leng,n,distance,feature_x,feature_y,nearest_x,nearest_y
"2118","2118","47809",50.765,-111.524,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",27581.5240096485,-1035228.21918828,1354763.07776134,-1061859.1878495,1361941.65525692
"2119","2119","47794",50.755,-111.531,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",27257.7934005849,-1035881.93823745,1353683.53357374,-1061876.16570539,1361886.4257109
"2120","2120","45670",49.082,-110.84,"176676","29274","0",14.890000000000001,01_29274,"1",01_48,Alberta,"889",Highway 889,Provincial,Paved,"2","60","2",0.000000000000000,"0",22865.076964170413703,"1",23836.6796469703,-1020803.31866355,1152275.26208465,-1006549.96841931,1171381.00214902
"2120","2120","45670",49.082,-110.84,"176657","29271","0",32.530000000000001,01_29271,"1",01_48,Alberta,"501",Highway 501,Provincial,Paved,"2","60","2",0.000000000000000,"0",49750.205365787616756,"2",23836.6796469703,-1020803.31866355,1152275.26208465,-1006549.96841931,1171381.00214902
"2121","2121","70054",50.6,-111.62,"63256","29534","0",8.410000000000000,01_29534,"1",01_48,Alberta,"1",Highway 1,Provincial,Paved,"4","100","1",1.000000000000000,"0",13197.923511066590436,"1",12520.0460202854,-1044743.93321055,1336739.61390734,-1052528.17402814,1326933.63882866
"2122","2122","45892",49.076,-110.701,"176676","29274","0",14.890000000000001,01_29274,"1",01_48,Alberta,"889",Highway 889,Provincial,Paved,"2","60","2",0.000000000000000,"0",22865.076964170413703,"1",21844.4545691784,-1011428.02859979,1150088.16945113,-1006549.96841931,1171381.00214902
"2122","2122","45892",49.076,-110.701,"176657","29271","0",32.530000000000001,01_29271,"1",01_48,Alberta,"501",Highway 501,Provincial,Paved,"2","60","2",0.000000000000000,"0",49750.205365787616756,"2",21844.4545691784,-1011428.02859979,1150088.16945113,-1006549.96841931,1171381.00214902
"2123","2123","34375",50.755,-111.617,"63257","29526","0",18.120000000000001,01_29526,"1",01_48,Alberta,"36",Highway 36,Provincial,Paved,"2","80","2",0.000000000000000,"0",28694.157322619819752,"1",21568.8358497353,-1041566.10167692,1354625.84866275,-1061876.16570539,1361886.4257109
"2124","2124","67892",50.751,-111.408,"63256","29534","0",8.410000000000000,01_29534,"1",01_48,Alberta,"1",Highway 1,Provincial,Paved,"4","100","1",1.000000000000000,"0",13197.923511066590436,"1",34972.9492060028,-1027826.62454979,1351882.25757543,-1050235.42696709,1325031.6942594
"2125","2125","45822",49.076,-110.701,"176676","29274","0",14.890000000000001,01_29274,"1",01_48,Alberta,"889",Highway 889,Provincial,Paved,"2","60","2",0.000000000000000,"0",22865.076964170413703,"1",21844.4545691784,-1011428.02859979,1150088.16945113,-1006549.96841931,1171381.00214902
"2125","2125","45822",49.076,-110.701,"176657","29271","0",32.530000000000001,01_29271,"1",01_48,Alberta,"501",Highway 501,Provincial,Paved,"2","60","2",0.000000000000000,"0",49750.205365787616756,"2",21844.4545691784,-1011428.02859979,1150088.16945113,-1006549.96841931,1171381.00214902
"2126","2126","45821",49.162,-110.719,"176676","29274","0",14.890000000000001,01_29274,"1",01_48,Alberta,"889",Highway 889,Provincial,Paved,"2","60","2",0.000000000000000,"0",22865.076964170413703,"1",12000.3097910792,-1011092.26762819,1160273.57431992,-1006549.96841931,1171381.00214902
"2126","2126","45821",49.162,-110.719,"176657","29271","0",32.530000000000001,01_29271,"1",01_48,Alberta,"501",Highway 501,Provincial,Paved,"2","60","2",0.000000000000000,"0",49750.205365787616756,"2",12000.3097910792,-1011092.26762819,1160273.57431992,-1006549.96841931,1171381.00214902
"2127","2127","45899",49.073,-110.659,"176657","29271","0",32.530000000000001,01_29271,"1",01_48,Alberta,"501",Highway 501,Provincial,Paved,"2","60","2",0.000000000000000,"0",49750.205365787616756,"1",22141.9989329795,-1008615.88152316,1149292.03122285,-1005140.92668596,1171159.65124944
