"","collection_no","collection_name","accepted_name","identified_rank","family","genus","formation","member","cells.1","Maas_out_1","DEM_1","LANDCVI_selected_1","MGVF_1","SLOPE_1","WC_Prec_1","WC_Temp_1","cells.2","MaasPrecip_1","MaasTemp_1"
"32",189799,"AMNH No. 1, Smallpox Spring","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"33",189804,"WL 350, E side of Panther Junction-Boquillas Road","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"34",189805,"WL 326, E side of Panther Junction-Boquillas Road","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"35",189805,"WL 326, E side of Panther Junction-Boquillas Road","Kritosaurus","genus","Hadrosauridae","Kritosaurus","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"36",189807,"TMM 42334, Dawson Creek","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"37",189808,"TMM 42324, Paint Gap Hills","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"38",189809,"WL 445, Glenn Spring","Hadrosaurinae","subfamily","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"39",189810,"TMM 41917/41918, Mesa de Anguila","Kritosaurus","genus","Hadrosauridae","Kritosaurus","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"40",189810,"TMM 41917/41918, Mesa de Anguila","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
"41",189811,"TMM 40574, Talley Mountain","Hadrosauridae","family","Hadrosauridae","","Aguja","",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17749,6.19023339822888e-05,294.209655761719
