"","Group.1","cells.1","Camp_out_1","DEM_1","LANDCVI_selected_1","MGVF_1","SLOPE_1","WC_Prec_1","WC_Temp_1","cells.2","CampPrecip_1","CampTemp_1","CampTemp"
"21",1950,1950,0.189999997615814,1564.29260253906,729.298095703125,89.7499923706055,0.0966494455933571,55.4828948974609,2.73221158981323,10551,1.33204839585233e-05,277.246276855469,4.09627685546877
"22",1951,1951,0.569999992847443,1183.86206054688,949.418273925781,99.25,0.181896105408669,43.0465774536133,4.49366331100464,10372,1.36208227559109e-05,276.8544921875,3.70449218750002
"23",1952,1952,1,929.643127441406,1207.43542480469,85.2499923706055,0.1800187677145,32.5004730224609,5.56564807891846,10912.5,1.38945069920737e-05,278.097015380859,4.9470153808594
"24",1953,1953,1,848.218994140625,1185.70483398438,84.2499923706055,0.0669811517000198,29.4944381713867,5.52838468551636,10734,1.4352028756548e-05,277.269500732422,4.1195007324219
"25",1954,1954,0.920000016689301,1104.982421875,1843.28674316406,86.2500076293945,0.0613560490310192,29.2829818725586,4.76887607574463,11058.8,1.4440556151385e-05,277.749395751953,4.59939575195312
"26",1955,1955,0.910000026226044,1059.98388671875,2322.90551757812,79.0000076293945,0.0561185926198959,31.5705432891846,4.17166948318481,11276,1.40251040647854e-05,277.746704101562,4.59670410156252
"27",2034,2034,0.300000011920929,1595.60815429688,967.587707519531,97,0.103430017828941,49.2077102661133,3.6786937713623,10909,1.29735726659419e-05,278.596160888672,5.4461608886719
"28",2035,2035,0.930000007152557,1207.40490722656,1769.13146972656,66.2500076293945,0.261865496635437,32.647891998291,5.28259706497192,11091,1.36218184252357e-05,278.990127563477,5.84012756347659
"29",2037,2037,1,938.202331542969,6008.29443359375,68.7500076293945,0.0561737231910229,27.7418231964111,5.90586185455322,11094.5,1.43057523018797e-05,277.945472717285,4.79547271728518
"30",2038,2038,0.75,858.51806640625,4017.06225585938,79.5,0.0971575900912285,28.1407165527344,5.64406967163086,11275,1.40754445965285e-05,278.17822265625,5.02822265625002
"31",2040,2040,1,689.789794921875,2214.77856445312,82,0.0300002209842205,26.4893283843994,5.68077898025513,11637,1.3095675058139e-05,278.082611083984,4.9326110839844
"32",2118,2118,0.349999994039536,1383.05627441406,2697.67700195312,74.7500076293945,0.297184884548187,35.5699005126953,4.65444612503052,11270.6666666667,1.36590509403807e-05,279.703409830729,6.55340983072921
