FID,POINTID,record_type,flags,lng,lat,lng_rot,lat_rot
149,150,Ceratopsidae,Middle Campanian,-110.59330000,49.11280100,-77.99511484,53.97515359
150,151,Ceratopsidae,Middle Campanian,-111.40917200,50.74884000,-78.19208480,55.68964471
151,152,Ceratopsidae,Middle Campanian,-111.60805500,50.81499900,-78.37966386,55.78470925
152,153,Ceratopsidae,Middle Campanian,-112.70839700,48.96460000,-80.27210086,54.14263307
153,154,Hadrosauridae,Middle Campanian,-103.33333600,29.66666800,-76.02274483,33.80696587
154,155,Hadrosauridae,Middle Campanian,-103.33667000,28.92138900,-76.18811399,33.07456728
155,156,Hadrosauridae,Middle Campanian,-103.44558000,28.61947300,-76.36481298,32.79479313
156,157,Hadrosauridae,Middle Campanian,-103.44558000,28.61947300,-76.36481298,32.79479313
157,158,Hadrosauridae,Middle Campanian,-103.44558000,28.61947300,-76.36481298,32.79479313
158,159,Hadrosauridae,Middle Campanian,-103.41321600,28.94736100,-76.26116612,33.11220635
159,160,Hadrosauridae,Middle Campanian,-103.44558000,28.61947300,-76.36481298,32.79479313
160,161,Hadrosauridae,Middle Campanian,-103.44558000,28.61947300,-76.36481298,32.79479313
161,162,Hadrosauridae,Middle Campanian,-103.44558000,28.61947300,-76.36481298,32.79479313
162,163,Hadrosauridae,Middle Campanian,-103.50412800,29.30156100,-76.27799631,33.47492778
163,164,Hadrosauridae,Middle Campanian,-85.02666500,32.16416500,-56.95862835,33.21980567
164,165,Hadrosauridae,Middle Campanian,-85.13939700,32.17789800,-57.06706962,33.25247542
165,166,Hadrosauridae,Middle Campanian,-85.31720000,32.12580100,-57.25591311,33.23175209
166,167,Hadrosauridae,Middle Campanian,-157.84199500,56.81499900,-124.49535360,68.69952553
167,168,Hadrosauridae,Middle Campanian,-89.46138800,35.57333400,-60.51718411,37.31096165
168,169,Hadrosauridae,Middle Campanian,-111.47653200,50.75160200,-78.26417722,55.70280550
169,170,Hadrosauridae,Middle Campanian,-111.46327200,50.74102800,-78.25436043,55.69049295
170,171,Hadrosauridae,Middle Campanian,-111.46327200,50.74102800,-78.25436043,55.69049295
171,172,Hadrosauridae,Middle Campanian,-111.13897700,50.06868400,-78.19064232,54.98803130
172,173,Hadrosauridae,Middle Campanian,-110.87247500,49.12765500,-78.29105074,54.03305964
173,174,Hadrosauridae,Middle Campanian,-110.87452700,49.12788000,-78.29318043,54.03359739
