FID,POINTID,record_type,flags,lng,lat,lng_rot,lat_rot
111,112,Ceratopsidae,Late Maastrichtian,-105.03666700,39.83666600,-80.32616107,45.45412966
112,113,Ceratopsidae,Late Maastrichtian,-104.99527700,39.89416900,-80.26409659,45.50334396
113,114,Ceratopsidae,Late Maastrichtian,-105.29972100,39.30527900,-80.77025774,44.97912991
114,115,Ceratopsidae,Late Maastrichtian,-105.08638800,39.70527600,-80.41990547,45.33417032
115,116,Ceratopsidae,Late Maastrichtian,-105.13527700,39.64888800,-80.48951040,45.28727364
116,117,Ceratopsidae,Late Maastrichtian,-105.11027500,39.86750000,-80.39526215,45.49651043
117,118,Ceratopsidae,Late Maastrichtian,-105.04409800,39.93429900,-80.30379291,45.55066429
118,119,Ceratopsidae,Late Maastrichtian,-105.14779700,39.90930200,-80.42239916,45.54357179
119,120,Ceratopsidae,Late Maastrichtian,-104.96270000,39.85839800,-80.24039892,45.46298879
120,121,Ceratopsidae,Late Maastrichtian,-104.89160200,39.89479800,-80.15315128,45.48663267
121,122,Ceratopsidae,Late Maastrichtian,-104.82000000,39.98527900,-80.04850436,45.56295739
122,123,Ceratopsidae,Late Maastrichtian,-104.73666400,30.43277700,-82.52970954,36.19124127
123,124,Ceratopsidae,Late Maastrichtian,-110.62609900,41.74819900,-85.76889256,48.23029330
124,125,Ceratopsidae,Late Maastrichtian,-106.87631200,41.93987700,-81.62956484,47.81132437
125,126,Ceratopsidae,Late Maastrichtian,-107.00000000,41.79999900,-81.80921370,47.69530288
126,127,Ceratopsidae,Late Maastrichtian,-107.00000000,41.79999900,-81.80921370,47.69530288
127,128,Ceratopsidae,Late Maastrichtian,-106.87631200,41.93987700,-81.62956484,47.81132437
128,129,Ceratopsidae,Late Maastrichtian,-106.87631200,41.93987700,-81.62956484,47.81132437
129,130,Ceratopsidae,Late Maastrichtian,-106.89023600,41.93475300,-81.64629540,47.80862472
130,131,Ceratopsidae,Late Maastrichtian,-106.89173100,41.94062000,-81.64597304,47.81459227
131,132,Ceratopsidae,Late Maastrichtian,-106.88109600,41.93524200,-81.63626220,47.80759394
132,133,Ceratopsidae,Late Maastrichtian,-106.88109600,41.93524200,-81.63626220,47.80759394
133,134,Ceratopsidae,Late Maastrichtian,-106.88109600,41.93524200,-81.63626220,47.80759394
134,135,Ceratopsidae,Late Maastrichtian,-106.85341600,41.93813700,-81.60541208,47.80585024
135,136,Ceratopsidae,Late Maastrichtian,-106.85341600,41.93813700,-81.60541208,47.80585024
136,137,Ceratopsidae,Late Maastrichtian,-106.85341600,41.93813700,-81.60541208,47.80585024
137,138,Ceratopsidae,Late Maastrichtian,-106.89073200,41.95609700,-81.63978196,47.82951908
138,139,Ceratopsidae,Late Maastrichtian,-106.88224000,41.93532600,-81.63747004,47.80786455
139,140,Ceratopsidae,Late Maastrichtian,-106.88501000,41.95390300,-81.63432641,47.82643587
140,141,Ceratopsidae,Late Maastrichtian,-106.87631200,41.93987700,-81.62956484,47.81132437
141,142,Ceratopsidae,Late Maastrichtian,-106.87631200,41.93987700,-81.62956484,47.81132437
142,143,Ceratopsidae,Late Maastrichtian,-106.87631200,41.93987700,-81.62956484,47.81132437
143,144,Ceratopsidae,Late Maastrichtian,-106.89241000,41.93975800,-81.64699105,47.81386372
144,145,Ceratopsidae,Late Maastrichtian,-106.89241000,41.93975800,-81.64699105,47.81386372
145,146,Ceratopsidae,Late Maastrichtian,-106.89241000,41.93975800,-81.64699105,47.81386372
146,147,Ceratopsidae,Late Maastrichtian,-106.88224000,41.93532600,-81.63747004,47.80786455
147,148,Ceratopsidae,Late Maastrichtian,-106.88224000,41.93532600,-81.63747004,47.80786455
148,149,Ceratopsidae,Late Maastrichtian,-106.62278000,41.83499900,-81.39049591,47.66718894
149,150,Ceratopsidae,Late Maastrichtian,-106.90833300,42.15555600,-81.59265334,48.02689549
150,151,Ceratopsidae,Late Maastrichtian,-108.40000200,49.29999900,-80.47089477,55.21299900
151,152,Ceratopsidae,Late Maastrichtian,-108.40000200,49.29999900,-80.47089477,55.21299900
152,153,Ceratopsidae,Late Maastrichtian,-106.57728600,49.05247900,-78.57705198,54.66739935
153,154,Ceratopsidae,Late Maastrichtian,-106.34972400,49.11666900,-78.29930595,54.69079518
154,155,Ceratopsidae,Late Maastrichtian,-107.29972100,49.00000000,-79.39262033,54.73869191
155,156,Ceratopsidae,Late Maastrichtian,-108.81666600,49.51666600,-80.83439573,55.49181051
156,157,Ceratopsidae,Late Maastrichtian,-108.81666600,49.51666600,-80.83439573,55.49181051
157,158,Ceratopsidae,Late Maastrichtian,-108.76660200,49.50500100,-80.78421179,55.47221276
158,159,Ceratopsidae,Late Maastrichtian,-108.33210000,49.34140000,-80.37729753,55.24169616
159,160,Ceratopsidae,Late Maastrichtian,-108.33210000,49.34140000,-80.37729753,55.24169616
160,161,Ceratopsidae,Late Maastrichtian,-108.33210000,49.34140000,-80.37729753,55.24169616
161,162,Ceratopsidae,Late Maastrichtian,-110.22621200,43.81407900,-84.64450785,50.18339638
162,163,Ceratopsidae,Late Maastrichtian,-107.38333100,47.63333100,-80.07239816,53.43028850
163,164,Ceratopsidae,Late Maastrichtian,-103.30000300,46.09999800,-76.26993159,51.25100594
164,165,Ceratopsidae,Late Maastrichtian,-107.38333100,47.63333100,-80.07239816,53.43028850
165,166,Ceratopsidae,Late Maastrichtian,-107.13330100,47.54999900,-79.83332521,53.30769066
