"","collection_no","siteID","bin_assignment","lat","lng"
"60",14462,8890,"teyep",46.465,-109.297
"61",14463,7726,"teyep",49.957,-110.266
"62",14465,9557,"teyeq",44.117,-107.757
"63",14466,11874,"teyep",37.4,-111.2
"64",14467,11708,"teyep",37.8,-111.5
"65",14468,8057,"teyep",48.933,-110.65
"66",14469,9722,"teyeq",43.836,-108.44
"67",14470,8057,"teyep",48.933,-110.583
"68",14471,7891,"teyeq",49.3,-110.6
"69",14473,9557,"teyeq",44.103,-107.757
"70",14474,11706,"teyeq",37.555,-112.276
"71",14476,7560,"teyeq",50.5,-110.3
"72",14477,9557,"teyeq",44.103,-107.757
"73",14478,9557,"teyeq",44.132,-107.777
"74",14479,9557,"teyeq",44.117,-107.777
"75",14480,9557,"teyeq",44.117,-107.777
"76",14481,7391,"teyeq",50.9,-111.8
"77",14482,8057,"teyep",48.933,-110.583
"78",14483,8057,"teyep",48.933,-110.583
"79",14485,7391,"teyeq",50.9,-111.8
"80",14486,9557,"teyeq",44.103,-107.757
"81",14487,9557,"teyeq",44.103,-107.757
"82",14490,8890,"teyep",46.1,-109.1
"83",14491,8057,"teyep",48.933,-110.583
"84",14492,8057,"teyep",48.933,-110.583
"85",14493,6898,"teyep",52.4,-109.2
"86",14494,7894,"teyep",49.1,-109.5
"87",14497,10885,"teyep",40.288,-107.864
"88",14498,12212,"teyep",36.3,-108.2
"89",14499,7717,"teyeo",49.8,-114.6
"90",14500,7058,"teyeo",51.6,-112.5
"91",14501,7058,"teyeo",51.6,-112.5
"92",14502,7721,"teyeo",49.913,-112.985
"93",14503,8053,"teyeo",48.9,-112.8
"94",14505,9895,"teyen",43.183,-104.533
"95",14506,8398,"teyen",47.633,-106.2
"96",14507,8396,"teyen",47.55,-107.117
"97",14508,8396,"teyen",47.55,-107.133
"98",14509,8398,"teyen",47.633,-106.2
"99",14510,10062,"teyen",43,-104.5
"100",14511,9895,"teyen",43.101,-104.597
"101",14512,8396,"teyen",47.617,-107.317
"102",14513,8396,"teyen",47.617,-107.317
"103",14514,10385,"teyen",41.568,-108.668
"104",14515,8397,"teyen",47.6,-107
"105",14516,8398,"teyen",47.8,-106.1
"106",14517,8398,"teyen",47.8,-106.1
"107",14518,12212,"teyep",36.315,-108.048
"108",14519,9895,"teyen",43.15,-104.567
"109",14520,8397,"teyen",47.6,-107
"110",14521,8397,"teyen",47.65,-106.65
"111",14522,9895,"teyen",43.25,-104.65
"112",14523,8397,"teyen",47.6,-107
"113",14524,9895,"teyen",43.217,-104.567
"114",14525,8397,"teyen",47.517,-106.983
"115",14526,9389,"teyen",44.936,-108.854
"116",14527,10062,"teyen",43,-104.5
"117",14528,8398,"teyen",47.8,-106.1
"118",14529,8398,"teyen",47.8,-106.1
"119",14530,8398,"teyen",47.8,-106.1
"120",14531,8398,"teyen",47.8,-106.1
"121",14532,8900,"teyen",46.3,-104.5
"122",14533,8396,"teyen",47.567,-107.1
"123",14534,8396,"teyen",47.567,-107.1
"124",14535,8396,"teyen",47.55,-107.1
"125",14536,8396,"teyen",47.567,-107.1
"126",14537,9234,"teyen",45.5,-103.1
"127",14538,9895,"teyen",43.167,-104.533
"128",14539,10389,"teyen",41.94,-106.876
"129",14540,10389,"teyen",41.94,-106.876
"130",14541,10389,"teyen",41.941,-106.892
"131",14542,10389,"teyen",41.935,-106.882
"132",14543,10389,"teyen",41.938,-106.853
"133",14544,10389,"teyen",41.8,-107
"134",14545,10389,"teyen",41.957,-106.888
"135",14546,8398,"teyen",47.517,-106.4
"136",14547,8398,"teyen",47.517,-106.4
"137",14548,8398,"teyen",47.517,-106.417
"138",14549,8398,"teyen",47.517,-106.4
"139",14550,8398,"teyen",47.6,-106.383
"140",14551,7894,"teyen",49.5,-109.1
"141",14552,8397,"teyen",47.6,-107
"142",14553,8396,"teyen",47.533,-107.083
"143",14555,7898,"teyen",49.4,-107.4
"144",14556,8398,"teyen",47.8,-106.1
"145",14557,9896,"teyen",43.3,-104.367
"146",14558,7896,"teyen",49.3,-108.4
"147",14559,8398,"teyen",47.583,-106.3
"148",14560,8396,"teyen",47.55,-107.25
"149",14561,10062,"teyen",43,-104.5
"150",14562,8398,"teyen",47.867,-106.183
"151",14563,8398,"teyen",47.6,-106.433
"152",14564,10062,"teyen",43,-104.5
"153",14565,9895,"teyen",43.165,-104.569
"154",14566,9896,"teyen",43.129,-104.495
"155",14567,9896,"teyen",43.149,-104.485
"156",14568,8396,"teyen",47.517,-107.183
"157",14569,6890,"teyen",52.328,-113.125
"158",14570,9895,"teyen",43.25,-104.517
"159",14572,8398,"teyen",47.8,-106.1
"160",14573,12212,"teyeo",36.3,-108.2
"161",14574,8397,"teyen",47.533,-106.917
"162",14575,8398,"teyen",47.65,-106.2
"163",14576,8398,"teyen",47.8,-106.1
"164",14577,9895,"teyen",43.233,-104.583
"165",14578,10062,"teyen",43,-104.5
"166",14579,10062,"teyen",43,-104.5
"167",14580,8398,"teyen",47.8,-106.1
"168",14582,8563,"teyen",47.067,-106.917
"169",14583,8398,"teyen",47.633,-106.2
"170",14584,7894,"teyen",49.5,-109.2
"171",14585,9895,"teyen",43.116,-104.637
"172",14586,9896,"teyen",43.188,-104.459
"173",14587,9895,"teyen",43.116,-104.637
"174",14588,9895,"teyen",43.118,-104.641
"175",14589,9895,"teyen",43.107,-104.583
"176",14590,10062,"teyen",43,-104.5
"177",14591,9895,"teyen",43.203,-104.615
"178",14592,9895,"teyen",43.162,-104.619
"179",14593,10062,"teyen",43,-104.5
"180",14594,8397,"teyen",47.6,-107
"181",14595,8398,"teyen",47.8,-106.1
"182",14596,9895,"teyen",43.15,-104.567
"183",14597,8567,"teyen",47.1,-104.8
"184",14598,9729,"teyen",43.8,-104.617
"185",14599,11377,"teyeo",39,-111
"186",14600,8397,"teyen",47.7,-106.55
"187",14601,10062,"teyen",43,-104.5
"188",14602,7894,"teyen",49.2,-109.2
"189",14603,11377,"teyeo",39,-111
"190",14604,9234,"teyen",45.5,-103.1
"191",14605,8398,"teyen",47.733,-106.5
"192",14606,9895,"teyen",43.14,-104.577
"193",14607,11210,"teyeo",39.167,-111.267
"194",14608,9229,"teyen",45.4,-105.6
"195",14609,9895,"teyen",43.233,-104.533
"196",14610,8902,"teyen",46.1,-103.3
"197",14611,8567,"teyen",47.1,-104.8
"198",14613,8396,"teyen",47.6,-107.233
"199",14614,8397,"teyen",47.517,-107
"200",14615,8397,"teyen",47.533,-106.883
"201",14616,8398,"teyen",47.676,-106.427
"202",14617,8398,"teyen",47.633,-106.2
"203",14618,8398,"teyen",47.8,-106.1
"204",14619,12212,"teyeo",36.3,-108.2
"205",14620,8740,"teyen",46.9,-101.5
"206",14621,8740,"teyen",46.9,-101.5
"207",14622,8398,"teyen",47.8,-106.1
"208",14623,8398,"teyen",47.633,-106.2
"209",14624,8398,"teyen",47.633,-106.2
"210",14625,10062,"teyen",43,-104.5
"211",14626,10062,"teyen",43,-104.5
"212",14627,8398,"teyen",47.8,-106.1
"213",14628,8398,"teyen",47.8,-106.1
"214",14629,8398,"teyen",47.633,-106.2
"215",14630,7057,"teyen",51.8,-113
"216",14631,7057,"teyen",51.8,-113
"217",14632,7057,"teyen",51.8,-113
"218",14633,7057,"teyen",51.8,-113
"219",14634,7057,"teyen",51.8,-113
"220",14635,7057,"teyen",51.8,-113
"221",14636,7057,"teyen",51.8,-113
"222",14637,7057,"teyen",51.8,-113
"223",14638,7057,"teyen",51.8,-113
"224",14639,8396,"teyen",47.517,-107.05
"225",14640,10892,"teyeo",40.386,-104.492
"226",14641,10062,"teyen",43,-104.5
"227",14642,10062,"teyen",43,-104.5
"228",14643,9896,"teyen",43.2,-104.467
"229",14644,10062,"teyen",43,-104.5
"230",14645,8398,"teyen",47.8,-106.1
"231",14646,8398,"teyen",47.8,-106.1
"232",14647,8398,"teyen",47.617,-106.183
"233",14648,8398,"teyen",47.8,-106.1
"234",14649,8398,"teyen",47.617,-106.183
"235",14650,8398,"teyen",47.617,-106.183
"236",14651,8398,"teyen",47.617,-106.183
"237",14652,8567,"teyen",47.1,-104.8
"238",14653,8398,"teyen",47.6,-106.283
"239",14654,8398,"teyen",47.6,-106.267
"240",14655,7896,"teyen",49.3,-108.4
"241",14656,10062,"teyen",43,-104.5
"242",14674,8398,"teyen",47.8,-106.1
"243",22638,9896,"teyen",43.349,-104.482
"244",22640,7392,"teyep",50.815,-111.325
"245",22652,8051,"teyeq",48.63,-113.75
"246",22653,8051,"teyeq",48.633,-113.75
"247",22654,7391,"teyep",50.729,-111.526
"248",22655,7392,"teyep",50.736,-111.494
"249",22656,7391,"teyep",50.734,-111.514
"250",22657,7391,"teyep",50.727,-111.525
"251",22659,7392,"teyep",50.751,-111.485
"252",22689,8051,"teyeq",48.633,-113.75
"253",22690,8051,"teyeq",48.633,-113.75
"254",22691,8219,"teyeq",48.479,-112.701
"255",22692,8053,"teyeq",48.911,-112.641
"256",22693,8053,"teyeq",48.967,-112.65
"257",22694,8053,"teyeq",48.967,-112.65
"258",22695,7392,"teyep",50.755,-111.399
"259",22696,7392,"teyep",50.781,-111.326
"260",22697,7391,"teyep",50.809,-111.632
"261",22698,7391,"teyep",50.75,-111.515
"262",22699,5882,"teyep",55.064,-119.108
"263",23549,8393,"teyep",47.733,-108.95
"264",23551,8393,"teyep",47.717,-108.9
"265",24790,9236,"teyen",45.136,-102.497
"266",24851,8900,"teyen",46.466,-104.021
"267",24891,7726,"teyep",49.95,-110.267
"268",24893,7392,"teyep",50.733,-111.3
"269",24924,12380,"teyeq",35.7,-107.2
"270",25658,8053,"teyeq",48.65,-112.967
"271",26626,9554,"teyen",44.24,-109.02
"272",26760,8568,"teyen",47.479,-104.484
"273",26775,8386,"teyeq",47.768,-112.288
"274",26779,8057,"teyep",48.95,-110.617
"275",28548,7057,"teyeo",51.84,-112.783
"276",34373,6889,"teyeo",52.267,-113.8
"277",34375,7391,"teyeq",50.755,-111.617
"278",34494,9405,"teyen",44.767,-100.7
"279",34743,7720,"teyeo",49.971,-113.365
"280",34744,7057,"teyeo",51.55,-112.866
"281",34745,7392,"teyep",50.809,-111.327
"282",34750,7392,"teyep",50.743,-111.492
"283",34826,12212,"teyep",36.286,-108.227
"284",34827,12212,"teyep",36.271,-108.209
"285",34828,12212,"teyep",36.315,-108.084
"286",35251,7894,"teyen",49.5,-109.1
"287",35379,7391,"teyeq",50.63,-111.62
"288",35510,8398,"teyen",47.722,-106.231
"289",35511,7391,"teyep",50.73,-111.8
"290",35518,12212,"teyep",36.269,-108.167
"291",36264,7391,"teyep",50.819,-111.574
"292",36269,12212,"teyep",36.269,-108.167
"293",36449,12212,"teyep",36.486,-108.486
"294",36542,12211,"teyep",36.488,-108.535
"295",36543,12212,"teyep",36.271,-108.209
"296",36570,7392,"teyep",50.662,-111.477
"297",36608,8386,"teyeq",47.812,-112.183
"298",36934,8386,"teyeq",47.812,-112.183
"299",38544,8396,"teyen",47.536,-107.083
"300",39229,12213,"teyep",36.155,-107.977
"301",39231,12213,"teyep",36.186,-107.889
"302",45098,9067,"teyen",45.949,-103.962
"303",45099,9067,"teyen",45.949,-103.962
"304",45100,9067,"teyen",45.949,-103.962
"305",45101,9067,"teyen",45.949,-103.962
"306",45102,9067,"teyen",45.978,-103.754
"307",45103,8901,"teyen",46.007,-103.754
"308",45104,8901,"teyen",46.026,-103.767
"309",45105,8901,"teyen",46.026,-103.767
"310",45106,8901,"teyen",46.026,-103.767
"311",45107,8901,"teyen",46.026,-103.767
"312",45108,8901,"teyen",46.026,-103.767
"313",45109,8901,"teyen",46.026,-103.767
"314",45110,8901,"teyen",46.026,-103.767
"315",45111,8901,"teyen",46.026,-103.767
"316",45112,8901,"teyen",46.026,-103.767
"317",45113,8901,"teyen",46.026,-103.767
"318",45114,8901,"teyen",46.026,-103.767
"319",45115,8901,"teyen",46.026,-103.767
"320",45116,8901,"teyen",46.026,-103.767
"321",45117,8901,"teyen",46.026,-103.767
"322",45118,8901,"teyen",46.026,-103.767
"323",45119,8901,"teyen",46.026,-103.767
"324",45120,8901,"teyen",46.026,-103.767
"325",45121,8901,"teyen",46.149,-103.81
"326",45122,8901,"teyen",46.18,-103.837
"327",45123,8901,"teyen",46.305,-103.981
"328",45124,8901,"teyen",46.137,-103.795
"329",45125,8901,"teyen",46.137,-103.795
"330",45126,8901,"teyen",46.137,-103.795
"331",45127,8901,"teyen",46.137,-103.795
"332",45128,8901,"teyen",46.406,-103.94
"333",45129,8901,"teyen",46.421,-103.94
"334",45130,8901,"teyen",46.382,-103.964
"335",45131,8901,"teyen",46.209,-103.775
"336",45132,8901,"teyen",46.209,-103.775
"337",45133,8901,"teyen",46.209,-103.775
"338",45134,8901,"teyen",46.209,-103.775
"339",45135,8901,"teyen",46.209,-103.775
"340",45136,8901,"teyen",46.382,-103.964
"341",45137,8900,"teyen",46.45,-104.023
"342",45138,8902,"teyen",46.45,-103.023
"343",45139,8902,"teyen",46.45,-103.023
"344",45140,8900,"teyen",46.45,-104.002
"345",45141,8900,"teyen",46.464,-104.023
"346",45142,8900,"teyen",46.464,-104.023
"347",45143,8900,"teyen",46.464,-104.023
"348",45144,8901,"teyen",46.334,-103.898
"349",45145,8901,"teyen",46.334,-103.898
"350",45146,8901,"teyen",46.334,-103.898
"351",45147,8901,"teyen",46.334,-103.898
"352",45238,7392,"teyep",50.737,-111.495
"353",45240,7391,"teyeq",50.752,-111.512
"354",45260,7392,"teyep",50.737,-111.48
"355",45261,7392,"teyep",50.749,-111.458
"356",45262,7391,"teyep",50.748,-111.51
"357",45264,7391,"teyep",50.748,-111.502
"358",45297,8900,"teyen",46.464,-104.002
"359",45298,8900,"teyen",46.464,-104.002
"360",45299,8900,"teyen",46.464,-104.002
"361",45308,8900,"teyen",46.464,-104.002
"362",45309,8900,"teyen",46.464,-104.002
"363",45311,8900,"teyen",46.464,-104.002
"364",45312,8900,"teyen",46.464,-104.002
"365",45313,8900,"teyen",46.464,-104.002
"366",45314,8900,"teyen",46.464,-104.002
"367",45316,8901,"teyen",46.363,-103.898
"368",45318,8901,"teyen",46.363,-103.898
"369",45319,8901,"teyen",46.363,-103.898
"370",45320,8901,"teyen",46.363,-103.898
"371",45380,8901,"teyen",46.363,-103.898
"372",45381,8901,"teyen",46.363,-103.898
"373",45382,8901,"teyen",46.363,-103.898
"374",45383,8901,"teyen",46.363,-103.898
"375",45384,8901,"teyen",46.363,-103.898
"376",45385,8901,"teyen",46.363,-103.898
"377",45386,8901,"teyen",46.363,-103.898
"378",45387,8901,"teyen",46.363,-103.898
"379",45388,9067,"teyen",45.939,-103.946
"380",45389,9067,"teyen",45.939,-103.946
"381",45390,9067,"teyen",45.939,-103.946
"382",45391,9067,"teyen",45.939,-103.946
"383",45392,9067,"teyen",45.939,-103.946
"384",45396,7392,"teyep",50.783,-111.5
"385",45560,7558,"teyeq",50.069,-111.139
"386",45565,7891,"teyeq",49.098,-110.939
"387",45566,7891,"teyeq",49.1,-110.94
"388",45567,7891,"teyeq",49.102,-110.941
"389",45670,7891,"teyeq",49.082,-110.84
"390",45671,7891,"teyeq",49.075,-110.684
"391",45674,7891,"teyeq",49.078,-110.684
"392",45675,7899,"teyen",49.036,-106.597
"393",45680,8053,"teyeq",48.965,-112.664
"394",45681,8053,"teyeq",48.936,-112.642
"395",45682,8053,"teyeq",48.965,-112.708
"396",45683,7392,"teyep",50.786,-111.477
"397",45684,7391,"teyep",50.728,-111.512
"398",45718,11210,"teyeo",39.199,-111.235
"399",45719,11210,"teyeo",39.228,-111.254
"400",45720,11210,"teyeo",39.214,-111.254
"401",45721,11210,"teyeo",39.17,-111.273
"402",45722,11210,"teyeo",39.183,-111.309
"403",45724,11210,"teyeo",39.214,-111.198
"404",45730,7391,"teyep",50.782,-111.597
"405",45731,7392,"teyep",50.745,-111.489
"406",45732,7057,"teyeo",51.615,-112.866
"407",45733,7057,"teyeo",51.63,-112.935
"408",45752,7057,"teyeo",51.805,-112.947
"409",45753,7391,"teyep",50.801,-111.604
"410",45755,7391,"teyep",50.809,-111.632
"411",45756,7392,"teyep",50.757,-111.487
"412",45819,7891,"teyeq",49.159,-110.722
"413",45820,7891,"teyeq",49.138,-110.848
"414",45821,7891,"teyeq",49.162,-110.719
"415",45822,7891,"teyeq",49.076,-110.701
"416",45844,10385,"teyen",41.568,-108.649
"417",45845,10387,"teyen",41.643,-107.649
"418",45860,10384,"teyep",41.867,-109.139
"419",45861,10384,"teyep",41.643,-109.225
"420",45862,10384,"teyep",41.717,-109.205
"421",45863,10385,"teyep",41.687,-108.764
"422",45865,10385,"teyep",41.711,-108.802
"423",45866,10384,"teyep",41.778,-109.197
"424",45867,10384,"teyep",41.598,-109.244
"425",45868,10384,"teyep",41.687,-109.205
"426",45869,10384,"teyep",41.628,-109.09
"427",45870,11051,"teyeq",39.937,-107.957
"428",45871,11383,"teyeq",38.945,-107.926
"429",45876,7056,"teyen",51.863,-113.005
"430",45877,7056,"teyen",51.877,-113.005
"431",45878,9896,"teyen",43.442,-104.412
"432",45879,9064,"teyen",45.55,-105.115
"433",45892,7891,"teyeq",49.076,-110.701
"434",45893,7891,"teyeq",49.074,-110.716
"435",45894,7891,"teyeq",49.076,-110.703
"436",45897,7891,"teyeq",49.187,-110.732
"437",45898,7891,"teyeq",49.194,-110.734
"438",45899,7891,"teyeq",49.073,-110.659
"439",46090,6056,"teyen",54.86,-115.463
"440",46091,6056,"teyen",54.86,-115.437
"441",46093,6056,"teyen",54.904,-115.463
"442",46119,10228,"teyen",42.196,-104.457
"443",46120,10060,"teyeo",42.584,-105.394
"444",46121,8391,"teyep",47.74,-109.619
"445",46122,8393,"teyep",47.772,-108.947
"446",46123,8393,"teyep",47.899,-109
"447",46124,8391,"teyep",47.736,-109.618
"448",46125,10060,"teyeo",42.584,-105.394
"449",46126,9895,"teyeo",43.122,-104.647
"450",46127,9895,"teyeo",43.121,-104.645
"451",46128,9895,"teyen",43.166,-104.911
"452",46129,9895,"teyeo",43.144,-104.911
"453",46130,9895,"teyeo",43.238,-104.608
"454",46131,9895,"teyen",43.158,-104.553
"455",46132,9895,"teyen",43.192,-104.644
"456",46133,9895,"teyeo",43.228,-104.572
"457",46134,9895,"teyen",43.231,-104.649
"458",46135,9895,"teyen",43.238,-104.628
"459",46136,9895,"teyen",43.181,-104.551
"460",46138,9895,"teyeo",43.179,-104.605
"461",46139,11056,"teyen",39.731,-105.042
"462",46209,9895,"teyen",43.27,-104.591
"463",46210,10725,"teyeo",40.908,-104.762
"464",46211,11389,"teyeo",38.861,-104.655
"465",46317,7391,"teyep",50.806,-111.628
"466",46318,7391,"teyep",50.791,-111.61
"467",46319,7391,"teyep",50.806,-111.624
"468",46332,7392,"teyep",50.749,-111.472
"469",46333,7392,"teyep",50.75,-111.489
"470",46335,7391,"teyep",50.807,-111.597
"471",46351,7057,"teyeo",51.543,-112.866
"472",46358,7392,"teyep",50.742,-111.488
"473",46359,7391,"teyep",50.688,-111.617
"474",46436,7887,"teyeo",49.026,-112.966
"475",46951,7391,"teyep",50.747,-111.505
"476",46952,7391,"teyep",50.74,-111.515
"477",46953,7392,"teyep",50.737,-111.492
"478",46954,7392,"teyep",50.742,-111.489
"479",46956,7557,"teyep",50.131,-111.694
"480",46957,7392,"teyep",50.765,-111.414
"481",46958,7394,"teyep",50.757,-110.017
"482",46984,12212,"teyep",36.257,-108.173
"483",46985,12212,"teyep",36.257,-108.263
"484",46986,12212,"teyep",36.271,-108.245
"485",46989,12212,"teyep",36.271,-108.227
"486",46990,12212,"teyep",36.184,-108.209
"487",46991,12212,"teyep",36.344,-108.084
"488",46992,12212,"teyeo",36.315,-108.031
"489",46993,12212,"teyep",36.344,-108.084
"490",46994,12212,"teyep",36.344,-108.102
"491",46995,12213,"teyep",36.155,-107.924
"492",46996,12213,"teyep",36.155,-107.941
"493",47008,12213,"teyeo",36.169,-107.959
"494",47009,12212,"teyep",36.286,-108.102
"495",47010,12212,"teyeo",36.344,-108.102
"496",47011,12212,"teyep",36.271,-108.227
"497",47012,12212,"teyep",36.271,-108.245
"498",47013,12212,"teyep",36.3,-108.191
"499",47014,12212,"teyep",36.315,-108.173
"500",47015,12046,"teyeo",36.683,-108.266
"501",47016,12212,"teyeo",36.315,-108.031
"502",47017,12212,"teyeo",36.315,-108.013
"503",47018,12380,"teyeo",35.966,-107.478
"504",47034,9071,"teyen",45.531,-101.626
"505",47101,8220,"teyeq",48.472,-112.358
"506",47127,7056,"teyen",51.892,-113.005
"507",47128,7056,"teyen",51.906,-113.029
"508",47130,7057,"teyen",51.913,-112.961
"509",47189,12212,"teyep",36.344,-108.084
"510",47193,12212,"teyep",36.104,-108.088
"511",47194,7718,"teyep",49.578,-114.242
"512",47195,12212,"teyep",36.344,-108.084
"513",47201,12212,"teyep",36.5,-108.083
"514",47626,8398,"teyen",47.877,-106.198
"515",47627,9065,"teyen",45.755,-104.953
"516",47628,9072,"teyen",45.668,-101.481
"517",47629,7560,"teyep",50.408,-110.291
"518",47784,7391,"teyep",50.791,-111.624
"519",47791,7392,"teyep",50.764,-111.375
"520",47793,7392,"teyep",50.75,-111.463
"521",47794,7391,"teyeq",50.755,-111.531
"522",47795,7392,"teyeq",50.829,-111.322
"523",47807,7391,"teyep",50.767,-111.515
"524",47809,7391,"teyeq",50.765,-111.524
"525",47811,7391,"teyep",50.75,-111.507
"526",47812,7391,"teyep",50.749,-111.525
"527",47814,7391,"teyep",50.812,-111.578
"528",47816,7392,"teyep",50.75,-111.475
"529",47817,12212,"teyeo",36.332,-108.067
"530",47818,12212,"teyep",36.344,-108.084
"531",47819,12212,"teyeo",36.344,-108.102
"532",47820,12212,"teyep",36.344,-108.102
"533",47821,12212,"teyep",36.344,-108.084
"534",47822,11710,"teyep",37.821,-110.353
"535",48193,9067,"teyen",45.651,-103.624
"536",48235,9067,"teyen",45.873,-103.787
"537",48327,9554,"teyen",44.094,-109.177
"538",48548,11045,"teyeq",39.728,-110.867
"539",48549,11707,"teyen",37.579,-111.831
"540",48551,9067,"teyen",45.928,-103.924
"541",48558,10223,"teyen",42.053,-106.836
"542",48559,9555,"teyen",44.292,-108.844
"543",48562,8560,"teyen",47.403,-108.268
"544",48618,7558,"teyep",50.4,-111.1
"545",48619,7391,"teyep",50.688,-111.617
"546",48620,8392,"teyep",47.776,-109.378
"547",48622,8398,"teyen",47.565,-106.313
"548",48624,7391,"teyeo",50.9,-111.8
"549",48626,9895,"teyen",43.272,-104.571
"550",48627,7389,"teyen",50.87,-112.994
"551",48628,7896,"teyen",49.36,-108.46
"552",48629,8398,"teyen",47.94,-106.189
"553",48686,7892,"teyep",49.204,-110.369
"554",48836,8234,"teyen",48.063,-105.399
"555",48838,12213,"teyep",36.184,-107.888
"556",48839,12212,"teyep",36.371,-108.261
"557",48842,11210,"teyeo",39.214,-111.254
"558",48843,8901,"teyen",46.348,-103.898
"559",48844,8398,"teyen",47.667,-106.367
"560",48845,8397,"teyen",47.533,-106.917
"561",48846,9065,"teyen",45.85,-104.833
"562",48847,8398,"teyen",47.964,-106.456
"563",48848,8398,"teyen",47.964,-106.456
"564",49000,11056,"teyen",39.676,-105.099
"565",49001,8393,"teyep",47.766,-108.949
"566",49005,8233,"teyen",48.287,-105.84
"567",49016,8398,"teyen",47.84,-106.161
"568",49079,7056,"teyeo",51.906,-113.005
"569",49234,7057,"teyeo",51.652,-112.911
"570",49235,7391,"teyep",50.73,-111.556
"571",49237,7392,"teyep",50.746,-111.475
"572",49238,9895,"teyen",43.341,-104.531
"573",49523,11056,"teyen",39.751,-105.204
"574",49524,10887,"teyeo",40.285,-106.861
"575",49525,11057,"teyeo",39.921,-104.865
"576",49526,11057,"teyeo",39.985,-104.82
"577",49527,11056,"teyen",39.811,-105.011
"578",49528,11056,"teyen",39.794,-105.019
"579",49529,10726,"teyeo",40.67,-104.333
"580",49530,11224,"teyeo",39.397,-104.001
"581",49531,11390,"teyen",38.846,-104.351
"582",49533,11389,"teyen",38.672,-104.698
"583",49534,11056,"teyen",39.791,-105.2
"584",49535,11056,"teyen",39.868,-105.11
"585",49536,11056,"teyeo",39.845,-105.184
"586",49537,11056,"teyeo",39.746,-105.224
"587",49538,11056,"teyen",39.613,-105.016
"588",49539,11056,"teyen",39.837,-105.037
"589",49540,11056,"teyeo",39.751,-105.228
"590",49541,11057,"teyen",39.894,-104.995
"591",49542,11222,"teyen",39.305,-105.3
"592",49543,11056,"teyen",39.705,-105.086
"593",49544,11056,"teyen",39.649,-105.135
"594",49545,11056,"teyeo",39.956,-105.229
"595",49546,11056,"teyeo",39.956,-105.229
"596",49547,11056,"teyen",39.868,-105.11
"597",49548,11057,"teyen",39.739,-104.984
"598",49549,11056,"teyen",39.601,-105.032
"599",49550,11056,"teyen",39.934,-105.044
"600",49551,11056,"teyen",39.909,-105.148
"601",49552,11056,"teyeo",39.941,-105.135
"602",49553,11056,"teyeo",39.7,-105.141
"603",49554,11058,"teyen",39.615,-104.044
