collection_no,siteID,bin_assignment,lat,lng,Distance
45260,7392,teyep,50.737,-111.48,3098.095138
45261,7392,teyep,50.749,-111.458,3219.911244
45262,7391,teyep,50.748,-111.51,2877.3238
45264,7391,teyep,50.748,-111.502,2930.227194
45297,8900,teyen,46.464,-104.002,1582.547234
45298,8900,teyen,46.464,-104.002,1582.547234
45299,8900,teyen,46.464,-104.002,1582.547234
45308,8900,teyen,46.464,-104.002,1582.547234
45309,8900,teyen,46.464,-104.002,1582.547234
45311,8900,teyen,46.464,-104.002,1582.547234
45312,8900,teyen,46.464,-104.002,1582.547234
45313,8900,teyen,46.464,-104.002,1582.547234
45314,8900,teyen,46.464,-104.002,1582.547234
45316,8901,teyen,46.363,-103.898,766.8476458
45318,8901,teyen,46.363,-103.898,766.8476458
45319,8901,teyen,46.363,-103.898,766.8476458
45320,8901,teyen,46.363,-103.898,766.8476458
45380,8901,teyen,46.363,-103.898,766.8476458
45381,8901,teyen,46.363,-103.898,766.8476458
45382,8901,teyen,46.363,-103.898,766.8476458
45383,8901,teyen,46.363,-103.898,766.8476458
45384,8901,teyen,46.363,-103.898,766.8476458
45385,8901,teyen,46.363,-103.898,766.8476458
45386,8901,teyen,46.363,-103.898,766.8476458
45387,8901,teyen,46.363,-103.898,766.8476458
45388,9067,teyen,45.939,-103.946,3802.238659
45389,9067,teyen,45.939,-103.946,3802.238659
45390,9067,teyen,45.939,-103.946,3802.238659
45391,9067,teyen,45.939,-103.946,3802.238659
45392,9067,teyen,45.939,-103.946,3802.238659
45396,7392,teyep,50.783,-111.5,2905.556646
45560,7558,teyeq,50.069,-111.139,1477.687935
45565,7891,teyeq,49.098,-110.939,2628.090662
45565,7891,teyeq,49.098,-110.939,2628.090662
45566,7891,teyeq,49.1,-110.94,2615.672224
45566,7891,teyeq,49.1,-110.94,2615.672224
45567,7891,teyeq,49.102,-110.941,2603.425096
45567,7891,teyeq,49.102,-110.941,2603.425096
45670,7891,teyeq,49.082,-110.84,2383.667965
