"","cells","mean_max_ptemp","mean_min_ptemp","mean_max_pprec","mean_min_pprec","mean_PDEM","plat"
"44",198812,-519.325866699219,-561.735656738281,12679189504,7100250112,760,55.9709
"45",198813,-519.331115722656,-561.744995117188,12678996992,7100199424,760,55.9337565656566
"46",198814,-519.332502282184,-561.747443821119,12678946426.4348,7100186022.95652,760,55.9264391304348
"47",198816,-519.306518554688,-561.701416015625,12679895040,7100436480,760,55.8665
"48",199623,-519.24560546875,-561.662841796875,12151199744,7126502400,400,56.2892
"49",199624,-519.264953613281,-561.691101074219,12196661248,7124100608,400,56.2492363636364
"50",201283,-519.077941894531,-561.399719238281,12069085184,7096764416,400,56.0809
"51",202103,-518.832153320312,-560.86767578125,11037486080,7235537920,840,56.34518
"52",202111,-519.015869140625,-561.314636230469,11922752512,7095952384,800,56.0526
"53",202117,-519.067810058594,-561.367614746094,12202066944,7085515776,400,55.9098
"54",203773,-518.907592773438,-561.136352539062,11980337152,7061681664,400,55.8319
"55",203774,-518.907592773438,-561.136352539062,11980337152,7061681664,400,55.8432
"56",203775,-518.940582275391,-561.179107666016,12058479104,7066096896,400,55.80845
"57",203776,-518.88017134233,-561.078585537997,12072744029.0909,7053223889.45455,400,55.7799818181818
"58",203777,-518.900756835938,-561.104553222656,12121610240,7057114624,400,55.7474
"59",203780,-518.89794921875,-561.073120117188,12272834560,7060564992,400,55.6717
"60",204604,-518.734558105469,-560.872741699219,11884955648,7021253632,400,55.6964
"61",204607,-518.755065917969,-560.869934082031,12091590656,7030320128,400,55.5822
"62",207091,-518.244445800781,-560.271667480469,10721317888,6903319552,840,55.6473
"63",207928,-518.484558105469,-560.460266113281,11922469888,6968206336,400,55.2755
"64",208754,-518.354553222656,-560.315856933594,11612244992,6913401344,800,55.2049
"65",208755,-518.330383300781,-560.255981445312,11713033216,6915244544,800,55.17
"66",208756,-518.330383300781,-560.255981445312,11713033216,6915244544,800,55.1536
"67",208758,-518.336242675781,-560.225402832031,11885815808,6936067072,400,55.0905
"68",208759,-518.336242675781,-560.225402832031,11885815808,6936067072,400,55.0874944444444
"69",209587,-518.281555175781,-560.167358398438,11755092992,6908799488,400,55.0343
"70",209588,-518.308898925781,-560.196411132812,11820454912,6922433536,400,55.0318423076923
"71",209621,-518.055297851562,-559.30224609375,12407907328,6854857728,640,54.3167
"72",210415,-518.199584960938,-560.080322265625,11559007232,6867898880,800,55.0106
"73",224541,-517.343811035156,-557.988159179688,12074775552,6816589824,680,53.0744
"74",226206,-517.296142578125,-557.825073242188,12073427968,6721487872,680,52.8061
"75",239513,-516.190099080404,-555.044448852539,12568388138.6667,6444703104,760,50.5779875
"76",241171,-516.154235839844,-554.95654296875,12589039616,6443004416,1040,50.529
"77",241996,-516.034729003906,-554.663696289062,12657823744,6437346304,1200,50.475
"78",246990,-515.67333984375,-553.778198242188,12865824768,6420236800,920,49.5626
"79",250308,-515.67333984375,-553.778198242188,12865824768,6420236800,1120,49.2761
"80",259421,-514.389709472656,-552.060974121094,12483543040,6637120512,880,48.7789
"81",268558,-514.231201171875,-551.286560058594,12990036992,6491204096,960,47.5742
"82",271037,-513.064636230469,-548.967529296875,13529005056,6587171328,1040,47.4662
"83",274371,-513.290100097656,-548.227661132812,15205416960,6779976192,840,46.802
"84",275174,-513.624572753906,-548.690368652344,15301156864,6651647488,960,47.2505
"85",276002,-513.759094238281,-548.638977050781,15703636992,6663101440,960,47.233825
"86",276831,-513.803955078125,-548.621826171875,15837796352,6666919936,960,47.2144666666667
"87",279319,-513.858276367188,-548.236083984375,16472798208,6615429632,680,46.949
"88",280149,-513.897216796875,-548.085327148438,16756386816,6582338560,680,46.8652
"89",281819,-513.537231445312,-547.878540039062,16213044224,6653871104,1040,46.4782
"90",282671,-513.46875,-547.641540527344,16533326848,6932699648,1040,45.8439
"91",290110,-513.498168945312,-546.678344726562,17519124480,6199977472,1480,45.6829333333333
"92",290111,-513.499755859375,-546.691955566406,17514283008,6217814272,1480,45.6518235294118
