"","cells","mean_DEM","mean_MGVF","mean_prec","mean_temp","max_DEM","min_DEM","relief","counting_colls$Coll_count","Camp_terr_outcrop","Camp_all_outcrop","Cret_outcrop"
"40",197982,927.553671131963,50.0434782608696,28.3586950716765,5.53949283516925,931.967712402344,881.206237792969,50.761474609375,3,0.899999976158142,1,1
"41",197983,956.901456351902,64.104347826087,29.2681156158447,4.96695652422698,972.81201171875,929.68603515625,43.1259765625,4,0.970000028610229,1,1
"42",197984,913.093872070312,60,28.9166660308838,5.16666698455811,913.093872070312,913.093872070312,0,1,1,1,1
"43",198811,982.09716796875,78,28.3333339691162,5.56666660308838,982.09716796875,982.09716796875,0,1,1,1,1
"44",198812,969.738891601562,72,28.5833339691162,5.23333358764648,969.738891601562,969.738891601562,0,1,1,1,1
"45",198813,939.090706873422,44,28.3796294626564,5.45631317177204,955.131958007812,880.62451171875,74.5074462890625,5,0.990000009536743,1,1
"46",198814,973.309066109035,43.304347826087,28.8106877907463,5.30715597194174,999.243713378906,902.861389160156,96.38232421875,7,1,1,1
"47",198816,894.154541015625,73,27.6666660308838,5.21666669845581,894.154541015625,894.154541015625,0,1,1,1,1
"48",199623,1248.64868164062,83,31.3333339691162,5.15833330154419,1248.64868164062,1248.64868164062,0,1,0.310000002384186,0.990000009536743,0.990000009536743
"49",199624,1271.07407226563,63.1454545454545,31.4439393130216,5.12060604962436,1347.01403808594,1241.34350585938,105.670532226562,20,0.779999971389771,1,1
"50",201283,1278.39025878906,76,30,5.5,1278.39025878906,1278.39025878906,0,1,0.490000009536743,0.930000007152557,1
"51",202103,2469.9228515625,16,63.8333320617676,-1.40000009536743,2469.9228515625,2469.9228515625,0,6,0,0,0
"52",202111,1300.57531738281,94,31.0833339691162,5.61666679382324,1300.57531738281,1300.57531738281,0,1,0,0,0.28999999165535
"53",202117,1127.40539550781,64,26.9166660308838,6.81666660308838,1127.40539550781,1127.40539550781,0,1,1,1,1
"54",203773,1206.07141113281,85,28.5833339691162,6.78333330154419,1206.07141113281,1206.07141113281,0,1,0,0.0599999986588955,0.0599999986588955
"55",203774,1190.86206054688,68,28.0833339691162,6.78333330154419,1190.86206054688,1190.86206054688,0,1,0,0,0
"56",203775,1179.27099609375,74.5,27.125,6.90000009536743,1192.66516113281,1165.87683105469,26.788330078125,2,0.180000007152557,0.180000007152557,0.180000007152557
"57",203776,1147.48370916193,51.5454545454545,26.9318180084229,7.04621228304776,1163.20959472656,1114.89282226562,48.3167724609375,6,0.800000011920929,0.800000011920929,0.800000011920929
"58",203777,1078.67321777344,65,26.0833339691162,7.20833349227905,1078.67321777344,1078.67321777344,0,1,0.990000009536743,1,1
"59",203780,1010.07312011719,57,24.6666660308838,7.42500019073486,1010.07312011719,1010.07312011719,0,1,0,0.200000002980232,0.200000002980232
"60",204604,1286.04455566406,79,29.25,6.05833339691162,1286.04455566406,1286.04455566406,0,1,0.310000002384186,0.310000002384186,0.310000002384186
"61",204607,1142.46411132812,87,26.4166660308838,6.55833339691162,1142.46411132812,1142.46411132812,0,1,1,1,1
"62",207091,2016.33569335938,96,47.8333320617676,1.32500004768372,2016.33569335938,2016.33569335938,0,1,0,0,0
"63",207928,1195.29370117188,87,25.5,6.875,1195.29370117188,1195.29370117188,0,1,0,0,0
"64",208754,1789.34265136719,88,38.8333320617676,2.89166665077209,1789.34265136719,1789.34265136719,0,1,0.0599999986588955,0.0599999986588955,0.0599999986588955
"65",208755,1354.02124023438,100,30.25,6.5,1354.02124023438,1354.02124023438,0,1,0.430000007152557,0.469999998807907,0.469999998807907
"66",208756,1387.6201171875,57,30.1666660308838,6.64166641235352,1387.6201171875,1387.6201171875,0,1,0.810000002384186,0.810000002384186,0.810000002384186
"67",208758,1161.77307128906,86,23.5833339691162,7.70833349227905,1161.77307128906,1161.77307128906,0,1,0.0799999982118607,0.430000007152557,0.430000007152557
"68",208759,1159.55533854167,65,22.9166660308838,7.50833336512248,1159.77758789062,1159.11083984375,0.666748046875,9,0,0,0
"69",209587,1277.46643066406,66,26.25,7.45000028610229,1277.46643066406,1277.46643066406,0,1,0.819999992847443,0.819999992847443,0.819999992847443
"70",209588,1284.3783991887,66.8846153846154,26.1410255432129,7.31891012191772,1331.19006347656,1220.54431152344,110.645751953125,11,0.649999976158142,0.879999995231628,0.879999995231628
"71",209621,718.878601074219,44,26.3333339691162,7.75833320617676,718.878601074219,718.878601074219,0,1,0.370000004768372,0.800000011920929,0.800000011920929
"72",210415,1341.19482421875,53,30.0833339691162,7,1341.19482421875,1341.19482421875,0,2,0.180000007152557,0.180000007152557,0.180000007152557
"73",224541,1815.35070800781,91,39.1666679382324,4.54166698455811,1815.35070800781,1815.35070800781,0,1,0,0.0199999995529652,0.0199999995529652
"74",226206,1402.66943359375,94,34.5833320617676,6.91666650772095,1402.66943359375,1402.66943359375,0,1,0,0,0
