"","cells","mean_DEM","mean_MGVF","mean_prec","mean_temp","max_DEM","min_DEM","relief","counting_colls$Coll_count","Camp_terr_outcrop","Camp_all_outcrop","Cret_outcrop"
"19",7560,747.845174153646,83,27.1388893127441,4.31111113230387,785.404174804688,668.817749023438,116.58642578125,3,0.620000004768372,1,1
"20",7718,1264.388671875,100,45.8333320617676,4.68333339691162,1264.388671875,1264.388671875,0,1,0.230000004172325,0.389999985694885,0.579999983310699
"21",7720,939.564331054688,90,34.6666679382324,5.71666669845581,939.564331054688,939.564331054688,0,1,0,0.0500000007450581,0.990000009536743
"22",7723,772.88417561849,85,28.9166666666667,5.73333326975505,804.537292480469,714.912292480469,89.625,3,1,1,1
"23",7724,774.460245768229,80.3333333333333,28.0833333333333,5.73888889948527,843.47705078125,722.446411132812,121.030639648438,3,1,1,1
"24",7725,820.980895996094,81,28.6666660308838,5.40000009536743,820.980895996094,820.980895996094,0,1,0.680000007152557,0.970000028610229,1
"25",7726,761.364637586806,75,28.5208339691162,5.28194451332092,762.8564453125,745.230346679688,17.6260986328125,4,0.159999996423721,0.670000016689301,0.860000014305115
"26",7887,1216.92188218061,93.7647058823529,35.8676470588235,4.80098023134119,1235.17517089844,1183.45751953125,51.7176513671875,3,0.389999985694885,0.670000016689301,0.920000016689301
"27",7888,1018.0205871582,86,34.5749988555908,6.02833342552185,1018.54699707031,1013.28289794922,5.26409912109375,9,0.939999997615814,1,1
"28",7890,894.841613769531,90,30.75,5.46666669845581,894.841613769531,894.841613769531,0,1,0.790000021457672,1,1
"29",7891,957.143948512652,57.0591966173362,28.7344959250968,5.28757930255591,1005.32092285156,880.62451171875,124.696411132812,34,0.879999995231628,1,1
"30",7892,908.001553005642,69.6666666666667,27.7592589060466,5.09351852205065,967.367980957031,880.079772949219,87.2882080078125,7,0.389999985694885,1,1
"31",7894,917.654235839844,73,26,4.15833330154419,917.654235839844,917.654235839844,0,1,0.00999999977648258,0.949999988079071,1
"32",8051,2469.9228515625,16,63.8333320617676,-1.40000009536743,2469.9228515625,2469.9228515625,0,6,0,0,0
"33",8053,1275.98574961787,68.9855072463768,31.3586957074594,5.21292271821395,1347.01403808594,1241.34350585938,105.670532226562,23,0.389999985694885,0.519999980926514,0.720000028610229
"34",8054,1127.40539550781,64,26.9166660308838,6.81666660308838,1127.40539550781,1127.40539550781,0,1,0.709999978542328,0.810000002384186,0.810000002384186
"35",8057,914.685375072338,59.9135802469136,25.6687243190812,5.4985596574383,1035.71728515625,858.168579101562,177.548706054688,20,0.939999997615814,0.990000009536743,0.990000009536743
"36",8058,836.121948242188,73,24.4583330154419,5.77083325386047,849.243896484375,823,26.243896484375,2,0.990000009536743,0.990000009536743,0.990000009536743
"37",8059,807.763181246244,62.3076923076923,26.0032049325796,6.26955140553988,845.59814453125,771.236328125,74.36181640625,8,0.509999990463257,0.930000007152557,0.930000007152557
"38",8063,738.391031901042,55.3333333333333,26.0833333333333,6.16388893127441,778.526611328125,683.863220214844,94.6633911132812,3,0.550000011920929,0.949999988079071,0.949999988079071
"39",8219,1274.52368164062,82.25,29.9583336512248,6.28750000397364,2016.33569335938,1165.87683105469,850.458862304688,6,0.219999998807907,0.230000004172325,0.259999990463257
"40",8220,1133.65371704102,59.375,26.6406247615814,6.98854181170464,1163.20959472656,1010.07312011719,153.136474609375,9,0.439999997615814,0.660000026226044,0.660000026226044
"41",8224,791.118957519531,65,27.75,7.36666679382324,791.118957519531,791.118957519531,0,1,0.409999996423721,0.920000016689301,0.920000016689301
"42",8231,678.556518554688,75,24.8333339691162,6.09999990463257,678.556518554688,678.556518554688,0,1,0.0900000035762787,0.879999995231628,0.879999995231628
"43",8385,1640.3124201848,79,35.9551274959858,4.23141025579893,1789.34265136719,1341.19482421875,448.147827148438,5,0.100000001490116,0.109999999403954,0.109999999403954
"44",8386,1232.16369150199,67.9411764705882,24.9460781695796,7.36421563578587,1387.6201171875,1159.11083984375,228.50927734375,24,0.319999992847443,0.430000007152557,0.430000007152557
"45",8389,977.9599609375,80,38.5833320617676,7.30833339691162,977.9599609375,977.9599609375,0,1,0,0.0700000002980232,0.0700000002980232
"46",8390,907.238342285156,65,32.1666679382324,7.30000019073486,907.238342285156,907.238342285156,0,1,0,0.610000014305115,0.610000014305115
"47",8391,941.910430908203,67.6111111111111,29.3796290998106,6.74768505273042,1047.42419433594,756.219543457031,291.204650878906,7,0.360000014305115,0.850000023841858,0.870000004768372
"48",8392,957.624816894531,69.5,30.6249990463257,6.87916660308838,1028.03356933594,887.216064453125,140.817504882812,2,0.360000014305115,0.910000026226044,0.910000026226044
"49",8393,742.294903094952,55.4615384615385,26.9294870816744,7.61602566792415,871.123962402344,709.579223632812,161.544738769531,9,0.0299999993294477,0.819999992847443,0.819999992847443
"50",8397,694.615936279297,29.5,26.375,7.59166646003723,704.231872558594,685,19.2318725585938,2,0,0.340000003576279,0.689999997615814
"51",8557,968.9365234375,93,30.6666660308838,7.29166650772095,968.9365234375,968.9365234375,0,1,0,0.270000010728836,0.270000010728836
"52",8560,895.291076660156,58,28.0833339691162,7.28333330154419,895.291076660156,895.291076660156,0,1,0,0.439999997615814,0.839999973773956
"53",8726,874.312377929688,55,28.8333339691162,8.10833358764648,874.312377929688,874.312377929688,0,3,0.129999995231628,0.649999976158142,0.680000007152557
