"","cells","mean_DEM","mean_MGVF","mean_prec","mean_temp","max_DEM","min_DEM","relief","counting_colls$Coll_count","Maas_terr_outcrop","Maas_all_outcrop","Cret_outcrop"
"49",223713,1804.19287109375,97,38.9166679382324,4.64166641235352,1804.19287109375,1804.19287109375,0,2,0,0,0.0299999993294477
"50",224542,1708.42687988281,97,38.1666679382324,5.19166660308838,1708.42687988281,1708.42687988281,0,2,0,0,0
"51",227033,1642.29357910156,96,39.3333320617676,5.84166669845581,1642.29357910156,1642.29357910156,0,1,0,0,0.170000001788139
"52",232844,2191.93115234375,84,51.1666679382324,2.35833334922791,2191.93115234375,2191.93115234375,0,1,0.0199999995529652,0.0199999995529652,0.189999997615814
"53",239487,2891.72583007812,76,53.3333320617676,-0.616666674613953,2891.72583007812,2891.72583007812,0,1,0.46000000834465,0.46000000834465,0.46000000834465
"54",239503,1912.79821777344,49,26.6666660308838,5.29999971389771,1912.79821777344,1912.79821777344,0,1,0.0299999993294477,0.0299999993294477,0.0900000035762787
"55",240315,2498.16870117188,94,54.6666679382324,0.850000023841858,2498.16870117188,2498.16870117188,0,1,0.200000002980232,0.200000002980232,0.439999997615814
"56",241146,2249.26635742188,96,52.0833320617676,1.52500009536743,2249.26635742188,2249.26635742188,0,1,0.469999998807907,0.469999998807907,0.490000009536743
"57",241976,2077.2861328125,85,47.8333320617676,1.92500007152557,2077.2861328125,2077.2861328125,0,1,0.0700000002980232,0.0700000002980232,0.140000000596046
"58",241978,2526.46557617188,82,45.4166679382324,0.633333265781403,2526.46557617188,2526.46557617188,0,1,0.449999988079071,0.449999988079071,0.509999990463257
"59",245313,1869.1806640625,24,21.25,6.15000009536743,1869.1806640625,1869.1806640625,0,1,0.129999995231628,0.129999995231628,0.28999999165535
"60",247014,1247.23229980469,64,29.4166660308838,8.375,1247.23229980469,1247.23229980469,0,1,0.870000004768372,0.870000004768372,0.870000004768372
"61",247015,1281.22631835938,49,30.0833339691162,8.22500038146973,1281.22631835938,1281.22631835938,0,1,0.889999985694885,0.889999985694885,0.889999985694885
"62",247841,1370.53967285156,65,28.25,8.04166698455811,1370.53967285156,1370.53967285156,0,1,0,0,0
"63",247844,1321.70198567708,62.6666666666667,30.2777779897054,8.22777779897054,1339.90698242188,1285.2919921875,54.614990234375,3,0.939999997615814,0.939999997615814,0.939999997615814
"64",252817,1514.58166503906,91,25.75,8.21666717529297,1514.58166503906,1514.58166503906,0,2,0,0,0
"65",258614,2140.43383789062,43,24.5833339691162,5.49166679382324,2140.43383789062,2140.43383789062,0,1,0.509999990463257,0.509999990463257,0.509999990463257
"66",259404,2210.59130859375,28,22.4166660308838,3.57499980926514,2210.59130859375,2210.59130859375,0,1,0.150000005960464,0.150000005960464,0.389999985694885
"67",259441,2011.259765625,21,22.3333339691162,6.40833330154419,2011.259765625,2011.259765625,0,2,0,0,0.860000014305115
"68",266101,1813.98181152344,67,31.75,8.19999980926514,1813.98181152344,1813.98181152344,0,1,0.28999999165535,0.28999999165535,0.28999999165535
"69",266103,1731.78869628906,64,31.1666660308838,8.59166622161865,1731.78869628906,1731.78869628906,0,1,0.0799999982118607,0.0799999982118607,0.0799999982118607
