"","cells","mean_DEM","mean_MGVF","mean_prec","mean_temp","max_DEM","min_DEM","relief","counting_colls$Coll_count","Maas_terr_outcrop","Maas_all_outcrop","Cret_outcrop"
"126",214643,624.63525390625,62,29.0833339691162,9.76666641235352,624.63525390625,624.63525390625,0,1,0.330000013113022,0.330000013113022,0.330000013113022
"127",214644,659.310180664062,50,29.0833339691162,9.60833358764648,659.310180664062,659.310180664062,0,1,0.239999994635582,0.239999994635582,0.239999994635582
"128",215447,1010.38061523438,71,26.8333339691162,6.64166688919067,1010.38061523438,1010.38061523438,0,1,0.810000002384186,0.810000002384186,0.810000002384186
"129",215451,994.890991210938,65,26.3333339691162,6.65833330154419,994.890991210938,994.890991210938,0,1,0.949999988079071,1,1
"130",215472,692.134216308594,72,28.4166660308838,13.0999994277954,692.134216308594,692.134216308594,0,3,0.419999986886978,0.569999992847443,0.569999992847443
"131",215473,654.560180664062,67,28.9166660308838,9.30833339691162,654.560180664062,654.560180664062,0,1,0.509999990463257,0.689999997615814,0.689999997615814
"132",215474,671.110931396484,47.5,28.75,10.2750000953674,685.619140625,656.602722167969,29.0164184570312,2,0.490000009536743,0.490000009536743,0.490000009536743
"133",215475,692.780090332031,63,28.6666660308838,12.0749998092651,692.780090332031,692.780090332031,0,1,0.129999995231628,0.129999995231628,0.129999995231628
"134",216336,672.374145507812,89,36.6666679382324,5.39166641235352,672.374145507812,672.374145507812,0,2,0,0,0
"135",217074,2324.02368164062,83,45.75,1.57500004768372,2324.02368164062,2324.02368164062,0,1,0,0,0
"136",218838,539.283142089844,85,34.0833320617676,5.26666688919067,539.283142089844,539.283142089844,0,1,0.449999988079071,0.449999988079071,0.449999988079071
"137",219632,801.677673339844,79,30.8333339691162,7.84999990463257,801.677673339844,801.677673339844,0,1,0,0,0
"138",219633,855.843505859375,88,32.0833320617676,7.20833349227905,855.843505859375,855.843505859375,0,1,0,0,0
"139",220460,855.881188025841,66.0854700854701,30.2336181249374,7.59052711878067,862.04248046875,852.840515136719,9.20196533203125,18,0.730000019073486,0.730000019073486,0.730000019073486
"140",220461,836.6586416739,67.6296296296296,30.0709876307735,7.80956796363548,878.379638671875,818.463195800781,59.9164428710938,3,0.340000003576279,0.340000003576279,0.340000003576279
"141",220465,853,86,32.0833320617676,7.24166679382324,853,853,0,20,0,0,0
